run_id,judge,phase,test_number,test_file,result_file,status,execution_start_utc,execution_end_utc,last_updated_utc
2026-05-24_135248,gemini,1,1,gemini\tests\test01_gemini_bootstrap_paradox.md,runs\2026-05-24_135248\judges\gemini\phase_1\test01_gemini_bootstrap_paradox.md,PASS,2026-05-24T18:53:21.968186+00:00,2026-05-24T18:56:13.805729+00:00,2026-05-24T18:56:13.805729+00:00
2026-05-24_135248,gemini,2,6,gemini\tests\test06_gemini_predicate.md,runs\2026-05-24_135248\judges\gemini\phase_2\test06_gemini_predicate.md,SKIPPED,,2026-05-24T19:09:38.042166+00:00,2026-05-24T19:09:38.042166+00:00
2026-05-24_135248,gemini,3,11,gemini\tests\test11_gemini_security.md,runs\2026-05-24_135248\judges\gemini\phase_3\test11_gemini_security.md,SKIPPED,,2026-05-24T19:09:39.245677+00:00,2026-05-24T19:09:39.245677+00:00
2026-05-24_135248,kimi,1,2,kimi\tests\test02_kimi_causal_timelock.md,runs\2026-05-24_135248\judges\kimi\phase_1\test02_kimi_causal_timelock.md,FAIL,2026-05-24T18:57:05.010897+00:00,2026-05-24T18:58:23.103911+00:00,2026-05-24T18:58:23.103911+00:00
2026-05-24_135248,kimi,2,7,kimi\tests\test07_kimi_reconciliation.md,runs\2026-05-24_135248\judges\kimi\phase_2\test07_kimi_reconciliation.md,SKIPPED,,2026-05-24T19:09:38.279167+00:00,2026-05-24T19:09:38.279167+00:00
2026-05-24_135248,kimi,3,12,kimi\tests\test12_kimi_poisoning.md,runs\2026-05-24_135248\judges\kimi\phase_3\test12_kimi_poisoning.md,SKIPPED,,2026-05-24T19:09:39.488680+00:00,2026-05-24T19:09:39.488680+00:00
2026-05-24_135248,grok4,1,3,grok4\tests\test03_grok4_contradiction.md,runs\2026-05-24_135248\judges\grok4\phase_1\test03_grok4_contradiction.md,FAIL,2026-05-24T18:59:05.690298+00:00,2026-05-24T19:00:18.137774+00:00,2026-05-24T19:00:18.137774+00:00
2026-05-24_135248,grok4,2,8,grok4\tests\test08_grok4_deadlock.md,runs\2026-05-24_135248\judges\grok4\phase_2\test08_grok4_deadlock.md,SKIPPED,,2026-05-24T19:09:38.517677+00:00,2026-05-24T19:09:38.517677+00:00
2026-05-24_135248,grok4,3,13,grok4\tests\test13_grok4_recursive.md,runs\2026-05-24_135248\judges\grok4\phase_3\test13_grok4_recursive.md,SKIPPED,,2026-05-24T19:09:39.733677+00:00,2026-05-24T19:09:39.733677+00:00
2026-05-24_135248,deepseek,1,4,deepseek\tests\test04_deepseek_pattern.md,runs\2026-05-24_135248\judges\deepseek\phase_1\test04_deepseek_pattern.md,FAIL,2026-05-24T19:00:57.601812+00:00,2026-05-24T19:02:16.762696+00:00,2026-05-24T19:02:16.762696+00:00
2026-05-24_135248,deepseek,2,9,deepseek\tests\test09_deepseek_temporal.md,runs\2026-05-24_135248\judges\deepseek\phase_2\test09_deepseek_temporal.md,SKIPPED,,2026-05-24T19:09:38.757677+00:00,2026-05-24T19:09:38.757677+00:00
2026-05-24_135248,deepseek,3,14,deepseek\tests\test14_deepseek_ethics.md,runs\2026-05-24_135248\judges\deepseek\phase_3\test14_deepseek_ethics.md,SKIPPED,,2026-05-24T19:09:39.993716+00:00,2026-05-24T19:09:39.994716+00:00
2026-05-24_135248,chatgpt5_1,1,5,chatgpt5_1\tests\test05_chatgpt5_1_causality.md,runs\2026-05-24_135248\judges\chatgpt5_1\phase_1\test05_chatgpt5_1_causality.md,FAIL,2026-05-24T19:02:57.532640+00:00,2026-05-24T19:05:34.775132+00:00,2026-05-24T19:05:34.775132+00:00
2026-05-24_135248,chatgpt5_1,2,10,chatgpt5_1\tests\test10_chatgpt5_1_reconciliation.md,runs\2026-05-24_135248\judges\chatgpt5_1\phase_2\test10_chatgpt5_1_reconciliation.md,SKIPPED,,2026-05-24T19:09:38.999676+00:00,2026-05-24T19:09:38.999676+00:00
2026-05-24_135248,chatgpt5_1,3,15,chatgpt5_1\tests\test15_chatgpt5_1_density_trap.md,runs\2026-05-24_135248\judges\chatgpt5_1\phase_3\test15_chatgpt5_1_density_trap.md,SKIPPED,,2026-05-24T19:09:41.967713+00:00,2026-05-24T19:09:41.967713+00:00
